class_type,wristX,wristY,wristZ,thumb_CmcX,thumb_CmcY,thumb_CmcZ,thumb_McpX,thumb_McpY,thumb_McpZ,thumb_IpX,thumb_IpY,thumb_IpZ,thumb_TipX,thumb_TipY,thumb_TipZ,index_McpX,index_McpY,index_McpZ,index_PipX,index_PipY,index_PipZ,index_DipX,index_DipY,index_DipZ,index_TipX,index_TipY,index_TipZ,middle_McpX,middle_McpY,middle_McpZ,middle_PipX,middle_PipY,middle_PipZ,middle_DipX,middle_DipY,middle_DipZ,middle_TipX,middle_TipY,middle_TipZ,ring_McpX,ring_McpY,ring_McpZ,ring_PipX,ring_PipY,ring_PipZ,ring_DipX,ring_DipY,ring_DipZ,ring_TipX,ring_TipY,ring_TipZ,pinky_McpX,pinky_McpY,pinky_McpZ,pinky_PipX,pinky_PipY,pinky_PipZ,pinky_DipX,pinky_DipY,pinky_DipZ,pinky_TipX,pinky_TipY,pinky_TipZ
N,858.738899230957,1393.515944480896,-0.00026995770167559385,708.2481384277344,1238.8380765914917,-0.03053431585431099,680.2469491958618,969.6864485740662,-0.04574878141283989,841.6996598243713,799.1942167282104,-0.06986506283283234,1024.9849557876587,726.6892194747925,-0.07573448121547699,744.5924282073975,860.9039187431335,0.002461428754031658,703.4590244293213,654.7424793243408,-0.09124283492565155,727.9489636421204,789.0103459358215,-0.13139337301254272,751.7200708389282,921.0149049758911,-0.13799609243869781,900.8620381355286,889.6864056587219,-0.02567335218191147,886.5402936935425,642.7029371261597,-0.14177344739437103,868.0816888809204,758.7541341781616,-0.19847750663757324,831.3292264938354,905.492901802063,-0.2197018265724182,1049.146294593811,946.9920992851257,-0.06481201946735382,1031.7720174789429,826.8641233444214,-0.18782851099967957,944.9547529220581,1022.2028493881226,-0.20635180175304413,866.2129044532776,1187.2060298919678,-0.18764950335025787,1195.1603889465332,1024.5490074157715,-0.10282713174819946,1161.8869304656982,918.9769625663757,-0.1869911551475525,1072.9401111602783,1046.698808670044,-0.18808035552501678,1002.8971433639526,1152.9078483581543,-0.16677507758140564
N,886.2901926040649,1572.1145868301392,-0.0003046901256311685,719.6452617645264,1361.2462282180786,-0.17469078302383423,773.1128931045532,984.6964478492737,-0.270906001329422,1093.5142040252686,777.950644493103,-0.35128992795944214,1380.4582357406616,649.5943069458008,-0.38370776176452637,771.2928056716919,723.2030630111694,-0.18042927980422974,719.9624180793762,526.3671875,-0.4143606424331665,744.6747422218323,792.9044365882874,-0.5293187499046326,762.0302438735962,1013.8517618179321,-0.5658268928527832,1020.4133987426758,780.0014019012451,-0.17704927921295166,1020.3679800033569,510.43635606765747,-0.4641730487346649,983.3312034606934,754.3541193008423,-0.5832003355026245,943.7291622161865,984.5728874206543,-0.6134200692176819,1259.932518005371,886.9429230690002,-0.20446933805942535,1278.7047624588013,798.3797788619995,-0.4744647443294525,1113.9458417892456,1145.6785202026367,-0.4690264165401459,985.1232767105103,1397.5489139556885,-0.40082600712776184,1472.7184772491455,1028.6664962768555,-0.23636600375175476,1490.6903505325317,913.8248562812805,-0.4230332672595978,1342.275619506836,1131.3040256500244,-0.4010726809501648,1223.5147953033447,1293.3363914489746,-0.337719589471817
N,1376.264942407608,1774.3923473358154,-0.0002551088109612465,1265.575791835785,1695.4088773727417,-0.04119211062788963,1235.7452759742737,1557.8450012207031,-0.056873682886362076,1312.5158665180206,1462.6877698898315,-0.05574417859315872,1402.8489754199982,1418.7693548202515,-0.019547566771507263,1252.9615845680237,1454.547303199768,-0.07542926073074341,1225.7181673049927,1339.2357454299927,-0.1306637078523636,1243.0678267478943,1449.403660774231,-0.13470055162906647,1253.5108795166016,1526.2157459259033,-0.1335429549217224,1349.4097166061401,1468.2845134735107,-0.0853605791926384,1342.224086523056,1321.9316110610962,-0.17483049631118774,1325.6453976631165,1445.3873205184937,-0.19414560496807098,1310.3003768920898,1529.1500787734985,-0.1899351179599762,1442.99587225914,1499.9457054138184,-0.09699130803346634,1438.265371799469,1416.448574066162,-0.17935772240161896,1399.3894536495209,1553.154767036438,-0.17659635841846466,1381.0768582820892,1632.2033386230469,-0.1572045236825943,1532.9244375228882,1547.0573244094849,-0.11222830414772034,1519.800894498825,1499.846978187561,-0.16136424243450165,1467.5354225635529,1580.8820705413818,-0.15935517847537994,1437.6846392154694,1629.2321557998657,-0.14758092164993286
N,865.8181428909302,1355.9653759002686,-0.0003388127952348441,694.8255300521851,1171.2465286254883,-0.10008346289396286,701.9320726394653,869.0764904022217,-0.15308305621147156,899.9919891357422,692.1913027763367,-0.1926395148038864,1112.1785640716553,616.4267063140869,-0.2032184600830078,776.1120796203613,701.5710473060608,-0.11326569318771362,759.041428565979,483.16290974617004,-0.251230388879776,785.0197553634644,684.2325925827026,-0.31120267510414124,803.7310838699341,858.2580089569092,-0.3317454159259796,963.3955359458923,758.0490708351135,-0.12449128925800323,1014.0669345855713,488.06968331336975,-0.29950574040412903,966.9522047042847,685.4877471923828,-0.36311474442481995,899.9435305595398,868.541419506073,-0.3752482235431671,1129.6429634094238,850.6131768226624,-0.14998853206634521,1158.3744287490845,732.6122522354126,-0.32897284626960754,1024.5901346206665,973.5478162765503,-0.37079909443855286,912.0780825614929,1155.5455923080444,-0.35739314556121826,1272.1948623657227,961.3851308822632,-0.17667366564273834,1256.690502166748,896.7820405960083,-0.3083948791027069,1117.4858808517456,1054.8655986785889,-0.32454943656921387,1007.3140859603882,1161.9315147399902,-0.3028600215911865
N,1414.3917696475983,2066.6633224487305,-0.00022060045739635825,1195.0866250991821,1890.6924057006836,-0.050773750990629196,1141.721872329712,1566.1172065734863,-0.07055513560771942,1306.8385519981384,1379.9944286346436,-0.09810983389616013,1481.5387587547302,1289.1366682052612,-0.09611523896455765,1286.6706755161285,1377.1823148727417,0.004267887212336063,1233.5655999183655,1126.997082710266,-0.15083074569702148,1192.0819702148438,1317.3533086776733,-0.24274766445159912,1191.9254729747772,1486.4805707931519,-0.27034687995910645,1472.5284790992737,1400.0478782653809,-0.03194808587431908,1451.4840338230133,1083.7054243087769,-0.20779910683631897,1347.641723871231,1286.3312335014343,-0.2907550632953644,1294.2307934761047,1480.7301321029663,-0.3056999444961548,1653.8585722446442,1471.952160835266,-0.08790825307369232,1618.4281268119812,1273.081748008728,-0.27607303857803345,1458.3177466392517,1519.1982822418213,-0.32731467485427856,1389.2464978694916,1716.8917989730835,-0.3059801161289215,1831.6974756717682,1575.8862886428833,-0.1426946371793747,1792.3030092716217,1392.0270204544067,-0.26652422547340393,1645.177984714508,1536.6203365325928,-0.2862001657485962,1573.2034184932709,1661.7298421859741,-0.26943397521972656
N,1784.827793121338,1610.2284851074219,-4.6345568989636377e-05,1704.2833261489868,1590.632308959961,-0.037831488996744156,1668.4426460266113,1501.9774475097656,-0.06180437281727791,1714.3985843658447,1408.0774383544922,-0.0782369077205658,1781.7643852233887,1346.6649627685547,-0.07574432343244553,1643.2559080123901,1423.8625946044922,-0.05990254506468773,1601.3010959625244,1351.7118072509766,-0.11100629717111588,1652.783522605896,1418.1085052490234,-0.12473320215940475,1697.8626251220703,1471.1481628417969,-0.12583765387535095,1712.3370752334595,1398.7073364257812,-0.06488823145627975,1668.2837171554565,1293.4362030029297,-0.13128674030303955,1704.654709815979,1368.7970581054688,-0.15667971968650818,1729.273591041565,1441.41943359375,-0.16430217027664185,1786.0621871948242,1397.4638214111328,-0.07266951352357864,1779.5808572769165,1380.9567260742188,-0.13438557088375092,1797.377212524414,1486.6958770751953,-0.13902772963047028,1804.0287599563599,1555.4237365722656,-0.13167403638362885,1858.8258619308472,1410.83349609375,-0.08139868080615997,1857.1812715530396,1422.5622253417969,-0.11989598721265793,1853.6724061965942,1496.8861083984375,-0.12339389324188232,1847.0430555343628,1541.9649353027344,-0.1190093457698822
N,817.7768588066101,1351.0918617248535,-0.0001792885595932603,594.2124724388123,1254.4529438018799,-0.18532057106494904,437.2849464416504,1004.2870044708252,-0.3183165490627289,466.4214849472046,860.8276844024658,-0.4432574212551117,617.5212860107422,864.167332649231,-0.5294382572174072,569.0717101097107,645.4677581787109,-0.22132767736911774,541.6805744171143,485.37546396255493,-0.3953724801540375,546.8290448188782,739.5046353340149,-0.4122125804424286,563.1001591682434,870.7051873207092,-0.3876551687717438,785.0219011306763,677.1332025527954,-0.21847064793109894,807.0293664932251,505.7394504547119,-0.4602399468421936,725.1889109611511,798.579216003418,-0.47564733028411865,698.708176612854,895.4501152038574,-0.416707843542099,982.7790260314941,760.5718970298767,-0.2406029999256134,1010.7516050338745,690.5320286750793,-0.45230406522750854,877.4345517158508,956.8047523498535,-0.42490407824516296,847.1241593360901,1019.7813510894775,-0.35422924160957336,1158.2386493682861,876.9726753234863,-0.2825222909450531,1174.8530864715576,846.568763256073,-0.39632484316825867,1043.7971353530884,1003.9829015731812,-0.4028259515762329,1001.4815330505371,1024.956226348877,-0.37585803866386414
N,780.0397276878357,1374.772071838379,-0.00021785129501949996,551.9055724143982,1279.3879508972168,-0.17254166305065155,380.6040287017822,1046.7339754104614,-0.31049057841300964,361.14662885665894,893.9757943153381,-0.44756680727005005,488.4082078933716,857.2698831558228,-0.5559197664260864,509.74637269973755,635.7903480529785,-0.22646287083625793,449.6990740299225,471.0090160369873,-0.39989081025123596,453.28083634376526,736.4192008972168,-0.41924744844436646,486.28005385398865,888.3297443389893,-0.3989606201648712,738.436222076416,662.1204018592834,-0.23419393599033356,723.7806916236877,510.9729766845703,-0.4785042703151703,648.8710641860962,799.4409203529358,-0.5033280849456787,636.4250183105469,902.9874205589294,-0.4532086253166199,944.7437524795532,744.678258895874,-0.26358628273010254,929.4763803482056,722.6454615592957,-0.4727862477302551,809.0484738349915,978.0946969985962,-0.4457045793533325,789.8712158203125,1036.84663772583,-0.3807045519351959,1127.5542974472046,858.7256669998169,-0.311370313167572,1105.81636428833,863.4326457977295,-0.41767820715904236,985.7212901115417,1016.1997079849243,-0.42404240369796753,954.6664953231812,1030.2919149398804,-0.40167272090911865
N,816.2909746170044,1596.642017364502,-0.00016413243429269642,642.6264047622681,1418.65074634552,-0.043416447937488556,660.0714921951294,1122.9214668273926,-0.08922182768583298,870.7931637763977,946.5078115463257,-0.14125891029834747,1058.9890480041504,850.0720262527466,-0.16088469326496124,763.3923292160034,964.6404385566711,-0.02601492591202259,741.4112091064453,733.5106134414673,-0.1534092128276825,679.4098615646362,898.2530832290649,-0.20093023777008057,667.6201224327087,1050.6720542907715,-0.20216810703277588,943.6811804771423,996.1203932762146,-0.06311078369617462,973.468542098999,690.4647350311279,-0.20893505215644836,856.0428619384766,843.1832194328308,-0.2579825818538666,806.7154884338379,1004.5219659805298,-0.25363391637802124,1106.8556308746338,1086.9837999343872,-0.11548833549022675,1094.18523311615,898.9388346672058,-0.2596231698989868,934.8701238632202,1113.3954524993896,-0.26688963174819946,895.6326842308044,1265.7557725906372,-0.232169508934021,1260.520339012146,1207.1954011917114,-0.1673903465270996,1230.9809923171997,1045.2853441238403,-0.25818201899528503,1107.701301574707,1175.325870513916,-0.2535487115383148,1087.977409362793,1273.455023765564,-0.22905033826828003
N,654.799377322197,1392.4310874938965,-2.5169918444589712e-05,842.9567506313324,1400.3451690673828,-0.18455862998962402,960.8413817882538,1428.2825832366943,-0.3634030520915985,936.5022468566895,1516.1773509979248,-0.5121553540229797,851.5371522903442,1557.763584136963,-0.6899704337120056,1020.0301430225372,1025.3886337280273,-0.44084620475769043,1076.1405222415924,1012.5590629577637,-0.6330088376998901,1099.2913119792938,1051.0869770050049,-0.7842053174972534,1093.8060357570648,1122.9574756622314,-0.895987331867218,828.9672389030457,967.1186084747314,-0.4200410842895508,814.2596204280853,997.2680511474609,-0.6325231790542603,782.0022150278091,1172.992509841919,-0.702882707118988,742.2777360677719,1314.453483581543,-0.7397491931915283,638.6149452924728,998.8950691223145,-0.4098259508609772,603.877762556076,1129.4102954864502,-0.5846973061561584,640.1591155529022,1324.110242843628,-0.602225124835968,674.8077660799026,1435.764570236206,-0.6005948781967163,488.37211990356445,1090.7698345184326,-0.4054007828235626,474.2018229961395,1228.3097591400146,-0.538068950176239,514.8167674541473,1373.6109466552734,-0.568572998046875,549.749125957489,1448.3767318725586,-0.5812204480171204
